ID,Phase,Position_x,Position_y,Position_z,Orientation_x,Orientation_y,Orientation_z
103,0.490873852,0.135965988,0.0785,0.009,-0.866025404,-0.5,0
104,0.556323699,0.130540729,0.087224527,0.009,-0.831469612,-0.555570233,0
105,0.621773546,0.124556474,0.095575544,0.009,-0.79335334,-0.608761429,0
106,0.687223393,0.11803885,0.103517293,0.009,-0.751839807,-0.659345815,0
107,0.75267324,0.111015765,0.111015765,0.009,-0.707106781,-0.707106781,0
108,0.818123087,0.103517293,0.11803885,0.009,-0.659345815,-0.751839807,0
109,0.883572934,0.095575544,0.124556474,0.009,-0.608761429,-0.79335334,0
110,0.949022781,0.087224527,0.130540729,0.009,-0.555570233,-0.831469612,0
111,1.014472628,0.0785,0.135965988,0.009,-0.5,-0.866025404,0
112,1.079922475,0.069439324,0.14080902,0.009,-0.44228869,-0.896872742,0
113,1.145372322,0.060081299,0.145049087,0.009,-0.382683432,-0.923879533,0
114,1.210822169,0.050465996,0.14866803,0.009,-0.321439465,-0.946930129,0
115,1.276272016,0.04063459,0.151650355,0.009,-0.258819045,-0.965925826,0
116,1.341721862,0.030629181,0.153983289,0.009,-0.195090322,-0.98078528,0
117,1.407171709,0.020492612,0.155656843,0.009,-0.130526192,-0.991444861,0
118,1.472621556,0.010268291,0.156663851,0.009,-0.065403129,-0.997858923,0
119,1.538071403,6.22714E-14,0.157,0.009,-3.96633E-13,-1,0
120,1.60352125,-0.010268291,0.156663851,0.009,0.065403129,-0.997858923,0
121,1.668971097,-0.020492612,0.155656843,0.009,0.130526192,-0.991444861,0
122,1.734420944,-0.030629181,0.153983289,0.009,0.195090322,-0.98078528,0
123,1.799870791,-0.04063459,0.151650355,0.009,0.258819045,-0.965925826,0
124,1.865320638,-0.050465996,0.14866803,0.009,0.321439465,-0.946930129,0
125,1.930770485,-0.060081299,0.145049087,0.009,0.382683432,-0.923879533,0
126,1.996220332,-0.069439324,0.14080902,0.009,0.44228869,-0.896872742,0
127,2.061670179,-0.0785,0.135965988,0.009,0.5,-0.866025404,0
128,2.127120026,-0.087224527,0.130540729,0.009,0.555570233,-0.831469612,0
129,2.192569873,-0.095575544,0.124556474,0.009,0.608761429,-0.79335334,0
130,2.25801972,-0.103517293,0.11803885,0.009,0.659345815,-0.751839807,0
131,2.323469567,-0.111015765,0.111015765,0.009,0.707106781,-0.707106781,0
132,2.388919414,-0.11803885,0.103517293,0.009,0.751839807,-0.659345815,0
133,2.454369261,-0.124556474,0.095575544,0.009,0.79335334,-0.608761429,0
134,2.519819108,-0.130540729,0.087224527,0.009,0.831469612,-0.555570233,0
135,2.585268955,-0.135965988,0.0785,0.009,0.866025404,-0.5,0
136,2.650718801,-0.14080902,0.069439324,0.009,0.896872742,-0.44228869,0
137,2.716168648,-0.145049087,0.060081299,0.009,0.923879533,-0.382683432,0
138,2.781618495,-0.14866803,0.050465996,0.009,0.946930129,-0.321439465,0
139,2.847068342,-0.151650355,0.04063459,0.009,0.965925826,-0.258819045,0
140,2.912518189,-0.153983289,0.030629181,0.009,0.98078528,-0.195090322,0
141,2.977968036,-0.155656843,0.020492612,0.009,0.991444861,-0.130526192,0
142,3.043417883,-0.156663851,0.010268291,0.009,0.997858923,-0.065403129,0
143,3.10886773,-0.157,1.24543E-13,0.009,1,-7.93266E-13,0
144,3.174317577,-0.156663851,-0.010268291,0.009,0.997858923,0.065403129,0
145,3.239767424,-0.155656843,-0.020492612,0.009,0.991444861,0.130526192,0
146,3.305217271,-0.153983289,-0.030629181,0.009,0.98078528,0.195090322,0
147,3.370667118,-0.151650355,-0.04063459,0.009,0.965925826,0.258819045,0
148,3.436116965,-0.14866803,-0.050465996,0.009,0.946930129,0.321439465,0
149,3.501566812,-0.145049087,-0.060081299,0.009,0.923879533,0.382683432,0
150,3.567016659,-0.14080902,-0.069439324,0.009,0.896872742,0.44228869,0
151,3.632466506,-0.135965988,-0.0785,0.009,0.866025404,0.5,0
152,3.697916353,-0.130540729,-0.087224527,0.009,0.831469612,0.555570233,0
153,3.7633662,-0.124556474,-0.095575544,0.009,0.79335334,0.608761429,0
154,3.828816047,-0.11803885,-0.103517293,0.009,0.751839807,0.659345815,0
155,3.894265894,-0.111015765,-0.111015765,0.009,0.707106781,0.707106781,0
156,3.95971574,-0.103517293,-0.11803885,0.009,0.659345815,0.751839807,0
157,4.025165587,-0.095575544,-0.124556474,0.009,0.608761429,0.79335334,0
158,4.090615434,-0.087224527,-0.130540729,0.009,0.555570233,0.831469612,0
159,4.156065281,-0.0785,-0.135965988,0.009,0.5,0.866025404,0
160,4.221515128,-0.069439324,-0.14080902,0.009,0.44228869,0.896872742,0
161,4.286964975,-0.060081299,-0.145049087,0.009,0.382683432,0.923879533,0
162,4.352414822,-0.050465996,-0.14866803,0.009,0.321439465,0.946930129,0
163,4.417864669,-0.04063459,-0.151650355,0.009,0.258819045,0.965925826,0
164,4.483314516,-0.030629181,-0.153983289,0.009,0.195090322,0.98078528,0
165,4.548764363,-0.020492612,-0.155656843,0.009,0.130526192,0.991444861,0
166,4.61421421,-0.010268291,-0.156663851,0.009,0.065403129,0.997858923,0
167,4.679664057,-1.86884E-13,-0.157,0.009,1.19034E-12,1,0
168,4.745113904,0.010268291,-0.156663851,0.009,-0.065403129,0.997858923,0
169,4.810563751,0.020492612,-0.155656843,0.009,-0.130526192,0.991444861,0
170,4.876013598,0.030629181,-0.153983289,0.009,-0.195090322,0.98078528,0
171,4.941463445,0.04063459,-0.151650355,0.009,-0.258819045,0.965925826,0
172,5.006913292,0.050465996,-0.14866803,0.009,-0.321439465,0.946930129,0
173,5.072363139,0.060081299,-0.145049087,0.009,-0.382683432,0.923879533,0
174,5.137812986,0.069439324,-0.14080902,0.009,-0.44228869,0.896872742,0
175,5.203262833,0.0785,-0.135965988,0.009,-0.5,0.866025404,0
176,5.268712679,0.087224527,-0.130540729,0.009,-0.555570233,0.831469612,0
177,5.334162526,0.095575544,-0.124556474,0.009,-0.608761429,0.79335334,0
178,5.399612373,0.103517293,-0.11803885,0.009,-0.659345815,0.751839807,0
179,5.46506222,0.111015765,-0.111015765,0.009,-0.707106781,0.707106781,0
180,5.530512067,0.11803885,-0.103517293,0.009,-0.751839807,0.659345815,0
181,5.595961914,0.124556474,-0.095575544,0.009,-0.79335334,0.608761429,0
182,5.661411761,0.130540729,-0.087224527,0.009,-0.831469612,0.555570233,0
183,5.726861608,0.135965988,-0.0785,0.009,-0.866025404,0.5,0
184,5.792311455,0.14080902,-0.069439324,0.009,-0.896872742,0.44228869,0
185,5.857761302,0.145049087,-0.060081299,0.009,-0.923879533,0.382683432,0
186,5.923211149,0.14866803,-0.050465996,0.009,-0.946930129,0.321439465,0
187,5.988660996,0.151650355,-0.04063459,0.009,-0.965925826,0.258819045,0
188,6.054110843,0.153983289,-0.030629181,0.009,-0.98078528,0.195090322,0
189,6.11956069,0.155656843,-0.020492612,0.009,-0.991444861,0.130526192,0
190,6.185010537,0.156663851,-0.010268291,0.009,-0.997858923,0.065403129,0
191,6.250460384,0.157,-2.49225E-13,0.009,-1,1.58742E-12,0
192,0,0.157,0,0.018,-1,0,0
193,0.065449847,0.156663851,0.010268291,0.018,-0.997858923,-0.065403129,0
194,0.130899694,0.155656843,0.020492612,0.018,-0.991444861,-0.130526192,0
195,0.196349541,0.153983289,0.030629181,0.018,-0.98078528,-0.195090322,0
196,0.261799388,0.151650355,0.04063459,0.018,-0.965925826,-0.258819045,0
197,0.327249235,0.14866803,0.050465996,0.018,-0.946930129,-0.321439465,0
198,0.392699082,0.145049087,0.060081299,0.018,-0.923879533,-0.382683432,0
199,0.458148929,0.14080902,0.069439324,0.018,-0.896872742,-0.44228869,0
200,0.523598776,0.135965988,0.0785,0.018,-0.866025404,-0.5,0
201,0.589048623,0.130540729,0.087224527,0.018,-0.831469612,-0.555570233,0
202,0.654498469,0.124556474,0.095575544,0.018,-0.79335334,-0.608761429,0
203,0.719948316,0.11803885,0.103517293,0.018,-0.751839807,-0.659345815,0
204,0.785398163,0.111015765,0.111015765,0.018,-0.707106781,-0.707106781,0
205,0.85084801,0.103517293,0.11803885,0.018,-0.659345815,-0.751839807,0
206,0.916297857,0.095575544,0.124556474,0.018,-0.608761429,-0.79335334,0
207,0.981747704,0.087224527,0.130540729,0.018,-0.555570233,-0.831469612,0
208,1.047197551,0.0785,0.135965988,0.018,-0.5,-0.866025404,0
209,1.112647398,0.069439324,0.14080902,0.018,-0.44228869,-0.896872742,0
210,1.178097245,0.060081299,0.145049087,0.018,-0.382683432,-0.923879533,0
211,1.243547092,0.050465996,0.14866803,0.018,-0.321439465,-0.946930129,0
212,1.308996939,0.04063459,0.151650355,0.018,-0.258819045,-0.965925826,0
213,1.374446786,0.030629181,0.153983289,0.018,-0.195090322,-0.98078528,0
214,1.439896633,0.020492612,0.155656843,0.018,-0.130526192,-0.991444861,0
215,1.50534648,0.010268291,0.156663851,0.018,-0.065403129,-0.997858923,0
216,1.570796327,6.22714E-14,0.157,0.018,-3.96633E-13,-1,0
217,1.636246174,-0.010268291,0.156663851,0.018,0.065403129,-0.997858923,0
218,1.701696021,-0.020492612,0.155656843,0.018,0.130526192,-0.991444861,0
219,1.767145868,-0.030629181,0.153983289,0.018,0.195090322,-0.98078528,0
220,1.832595715,-0.04063459,0.151650355,0.018,0.258819045,-0.965925826,0
221,1.898045562,-0.050465996,0.14866803,0.018,0.321439465,-0.946930129,0
222,1.963495408,-0.060081299,0.145049087,0.018,0.382683432,-0.923879533,0
223,2.028945255,-0.069439324,0.14080902,0.018,0.44228869,-0.896872742,0
224,2.094395102,-0.0785,0.135965988,0.018,0.5,-0.866025404,0
225,2.159844949,-0.087224527,0.130540729,0.018,0.555570233,-0.831469612,0
226,2.225294796,-0.095575544,0.124556474,0.018,0.608761429,-0.79335334,0
227,2.290744643,-0.103517293,0.11803885,0.018,0.659345815,-0.751839807,0
228,2.35619449,-0.111015765,0.111015765,0.018,0.707106781,-0.707106781,0
229,2.421644337,-0.11803885,0.103517293,0.018,0.751839807,-0.659345815,0
230,2.487094184,-0.124556474,0.095575544,0.018,0.79335334,-0.608761429,0
231,2.552544031,-0.130540729,0.087224527,0.018,0.831469612,-0.555570233,0
232,2.617993878,-0.135965988,0.0785,0.018,0.866025404,-0.5,0
233,2.683443725,-0.14080902,0.069439324,0.018,0.896872742,-0.44228869,0
234,2.748893572,-0.145049087,0.060081299,0.018,0.923879533,-0.382683432,0
235,2.814343419,-0.14866803,0.050465996,0.018,0.946930129,-0.321439465,0
236,2.879793266,-0.151650355,0.04063459,0.018,0.965925826,-0.258819045,0
237,2.945243113,-0.153983289,0.030629181,0.018,0.98078528,-0.195090322,0
238,3.01069296,-0.155656843,0.020492612,0.018,0.991444861,-0.130526192,0
239,3.076142807,-0.156663851,0.010268291,0.018,0.997858923,-0.065403129,0
240,3.141592654,-0.157,1.24543E-13,0.018,1,-7.93266E-13,0
241,3.207042501,-0.156663851,-0.010268291,0.018,0.997858923,0.065403129,0
242,3.272492347,-0.155656843,-0.020492612,0.018,0.991444861,0.130526192,0
243,3.337942194,-0.153983289,-0.030629181,0.018,0.98078528,0.195090322,0
244,3.403392041,-0.151650355,-0.04063459,0.018,0.965925826,0.258819045,0
245,3.468841888,-0.14866803,-0.050465996,0.018,0.946930129,0.321439465,0
246,3.534291735,-0.145049087,-0.060081299,0.018,0.923879533,0.382683432,0
247,3.599741582,-0.14080902,-0.069439324,0.018,0.896872742,0.44228869,0
248,3.665191429,-0.135965988,-0.0785,0.018,0.866025404,0.5,0
249,3.730641276,-0.130540729,-0.087224527,0.018,0.831469612,0.555570233,0
250,3.796091123,-0.124556474,-0.095575544,0.018,0.79335334,0.608761429,0
251,3.86154097,-0.11803885,-0.103517293,0.018,0.751839807,0.659345815,0
252,3.926990817,-0.111015765,-0.111015765,0.018,0.707106781,0.707106781,0
253,3.992440664,-0.103517293,-0.11803885,0.018,0.659345815,0.751839807,0
254,4.057890511,-0.095575544,-0.124556474,0.018,0.608761429,0.79335334,0
255,4.123340358,-0.087224527,-0.130540729,0.018,0.555570233,0.831469612,0
256,4.188790205,-0.0785,-0.135965988,0.018,0.5,0.866025404,0
257,4.254240052,-0.069439324,-0.14080902,0.018,0.44228869,0.896872742,0
258,4.319689899,-0.060081299,-0.145049087,0.018,0.382683432,0.923879533,0
259,4.385139746,-0.050465996,-0.14866803,0.018,0.321439465,0.946930129,0
260,4.450589593,-0.04063459,-0.151650355,0.018,0.258819045,0.965925826,0
261,4.51603944,-0.030629181,-0.153983289,0.018,0.195090322,0.98078528,0
262,4.581489286,-0.020492612,-0.155656843,0.018,0.130526192,0.991444861,0
263,4.646939133,-0.010268291,-0.156663851,0.018,0.065403129,0.997858923,0
264,4.71238898,-1.86884E-13,-0.157,0.018,1.19034E-12,1,0
265,4.777838827,0.010268291,-0.156663851,0.018,-0.065403129,0.997858923,0
266,4.843288674,0.020492612,-0.155656843,0.018,-0.130526192,0.991444861,0
267,4.908738521,0.030629181,-0.153983289,0.018,-0.195090322,0.98078528,0
268,4.974188368,0.04063459,-0.151650355,0.018,-0.258819045,0.965925826,0
269,5.039638215,0.050465996,-0.14866803,0.018,-0.321439465,0.946930129,0
270,5.105088062,0.060081299,-0.145049087,0.018,-0.382683432,0.923879533,0
271,5.170537909,0.069439324,-0.14080902,0.018,-0.44228869,0.896872742,0
272,5.235987756,0.0785,-0.135965988,0.018,-0.5,0.866025404,0
273,5.301437603,0.087224527,-0.130540729,0.018,-0.555570233,0.831469612,0
274,5.36688745,0.095575544,-0.124556474,0.018,-0.608761429,0.79335334,0
275,5.432337297,0.103517293,-0.11803885,0.018,-0.659345815,0.751839807,0
276,5.497787144,0.111015765,-0.111015765,0.018,-0.707106781,0.707106781,0
277,5.563236991,0.11803885,-0.103517293,0.018,-0.751839807,0.659345815,0
